,OVERALL,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DEF,,,,,K,,
Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team
85,Deebo Samuel,WR,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Stefon Diggs,WR,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Darnell Mooney,WR,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Michael Pittman,WR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Travis Kelce,TE,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Patrick Mahomes,QB,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bo Nix,QB,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Brock Purdy,QB,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Baker Mayfield,QB,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Cooper Kupp,WR,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,David Njoku,TE,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Tucker Kraft,TE,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Tyler Warren,TE,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Jake Ferguson,TE,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Javonte Williams,RB,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Jacory Croskey-Merritt,RB,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Caleb Williams,QB,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Jared Goff,QB,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Chris Godwin,WR,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Travis Etienne,RB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Dylan Sampson,RB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Austin Ekeler,RB,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jordan Mason,RB,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Tank Bigsby,RB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jerome Ford,RB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Evan Engram,TE,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Rhamondre Stevenson,RB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Dak Prescott,QB,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Trevor Lawrence,QB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Drake Maye,QB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Kyler Murray,QB,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Cedric Tillman,WR,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Keon Coleman,WR,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Colston Loveland,TE,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Romeo Doubs,WR,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Zach Charbonnet,RB,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Braelon Allen,RB,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Christian Kirk,WR,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Jayden Higgins,WR,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Justin Fields,QB,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Jordan Love,QB,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Justin Herbert,QB,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,C.J. Stroud,QB,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Adam Thielen,WR,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Rashid Shaheed,WR,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Xavier Legette,WR,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Brandon Aiyuk,WR,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Rachaad White,RB,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Cam Skattebo,RB,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Dont'e Thornton,WR,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Jayden Reed,WR,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Keenan Allen,WR,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Jaydon Blue,RB,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Woody Marks,RB,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Wan'Dale Robinson,WR,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Nick Chubb,RB,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Zach Ertz,TE,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Ray Davis,RB,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,J.J. McCarthy,QB,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Matthew Stafford,QB,LAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Tua Tagovailoa,QB,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Geno Smith,QB,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Michael Penix,QB,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Najee Harris,RB,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Bhayshul Tuten,RB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Dalton Kincaid,TE,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Brenton Strange,TE,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Trey Benson,RB,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Chris Rodriguez,RB,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Ollie Gordon,RB,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Roschon Johnson,RB,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Tyler Allgeier,RB,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Dallas Goedert,TE,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Luther Burden,WR,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Kyle Williams,WR,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bryce Young,QB,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Rashod Bateman,WR,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Hunter Henry,TE,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Brian Robinson,RB,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Tyjae Spears,RB,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Quinshon Judkins,RB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Mike Gesicki,TE,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Denver Broncos,DEF,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Philadelphia Eagles,DEF,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Baltimore Ravens,DEF,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Houston Texans,DEF,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Tre Harris,WR,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Joshua Palmer,WR,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Quentin Johnston,WR,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Kyle Pitts,TE,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Jonnu Smith,TE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Cade Otton,TE,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Isaiah Likely,TE,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Pittsburgh Steelers,DEF,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Alec Pierce,WR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Tory Horton,WR,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,DeAndre Hopkins,WR,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Adonai Mitchell,WR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Jalen Coker,WR,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Juwan Johnson,TE,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Ja'Tavion Sanders,TE,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Chig Okonkwo,TE,TEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Darren Waller,TE,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Mason Taylor,TE,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Rico Dowdle,RB,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Isaac Guerendo,RB,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Joe Mixon,RB,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Dalton Schultz,TE,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Theo Johnson,TE,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Elijah Arroyo,TE,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Pat Freiermuth,TE,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Terrance Ferguson,TE,LAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Sam Darnold,QB,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Daniel Jones,QB,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
